category,probability_bucket,predicted_probability,observed_frequency,count,calibration_gap,flag
cardiovascular,0.0-0.1,0.0533,0.05,40,-0.0033,ok
cardiovascular,0.1-0.2,0.1542,0.1304,46,-0.0238,ok
cardiovascular,0.2-0.3,0.2525,0.1957,46,-0.0569,ok
cardiovascular,0.3-0.4,0.3395,0.4706,34,0.1311,under-confident
cardiovascular,0.4-0.5,0.4265,0.4667,15,0.0402,ok
cardiovascular,0.5-0.6,0.5422,0.5,6,-0.0422,ok
cardiovascular,0.6-0.7,0.644,0.6667,3,0.0226,ok
cardiovascular,0.7-0.8,,,0,,no_data
cardiovascular,0.8-0.9,,,0,,no_data
cardiovascular,0.9-1.0,,,0,,no_data
general_burden,0.0-0.1,,,0,,no_data
general_burden,0.1-0.2,0.162,0.3333,3,0.1713,ok
general_burden,0.2-0.3,0.2634,0.4444,9,0.1811,ok
general_burden,0.3-0.4,0.3731,0.3333,3,-0.0397,ok
general_burden,0.4-0.5,0.452,0.3846,13,-0.0674,ok
general_burden,0.5-0.6,0.5507,0.36,25,-0.1907,ok
general_burden,0.6-0.7,0.6602,0.641,39,-0.0192,ok
general_burden,0.7-0.8,0.7423,0.7143,49,-0.028,ok
general_burden,0.8-0.9,0.8306,1.0,29,0.1694,ok
general_burden,0.9-1.0,,,0,,no_data
neuropathy_mobility,0.0-0.1,0.0707,0.0376,133,-0.0331,ok
neuropathy_mobility,0.1-0.2,0.1509,0.1382,217,-0.0127,ok
neuropathy_mobility,0.2-0.3,0.2498,0.2993,147,0.0495,ok
neuropathy_mobility,0.3-0.4,0.3475,0.4112,107,0.0638,ok
neuropathy_mobility,0.4-0.5,0.4512,0.4348,69,-0.0164,ok
neuropathy_mobility,0.5-0.6,0.5528,0.5,54,-0.0528,ok
neuropathy_mobility,0.6-0.7,0.6573,0.6517,89,-0.0057,ok
neuropathy_mobility,0.7-0.8,0.7541,0.6129,93,-0.1412,over-confident
neuropathy_mobility,0.8-0.9,0.8427,0.8,80,-0.0427,ok
neuropathy_mobility,0.9-1.0,0.9322,0.9091,11,-0.0231,ok
retinopathy,0.0-0.1,,,0,,no_data
retinopathy,0.1-0.2,0.1651,0.5,2,0.3349,ok
retinopathy,0.2-0.3,0.2434,0.1613,31,-0.0821,ok
retinopathy,0.3-0.4,0.3479,0.3636,33,0.0158,ok
retinopathy,0.4-0.5,0.4485,0.5,44,0.0515,ok
retinopathy,0.5-0.6,0.5597,0.5938,32,0.0341,ok
retinopathy,0.6-0.7,0.6523,0.6,15,-0.0523,ok
retinopathy,0.7-0.8,0.7045,0.0,3,-0.7045,ok
retinopathy,0.8-0.9,,,0,,no_data
retinopathy,0.9-1.0,,,0,,no_data
