category,tier,count,accuracy,precision,recall,f1,tn,fp,fn,tp
cardiovascular,Lower Estimated Risk,68,0.4368,0.0441,0.0667,0.0531,80,65,42,3
cardiovascular,Moderate Estimated Risk,7,0.7368,0.1429,0.0222,0.0385,139,6,44,1
cardiovascular,Higher Estimated Risk,115,0.5895,0.3565,0.9111,0.5125,71,74,4,41
general_burden,Lower Estimated Risk,41,0.2941,0.3659,0.1376,0.2,35,26,94,15
general_burden,Moderate Estimated Risk,29,0.3647,0.5172,0.1376,0.2174,47,14,94,15
general_burden,Higher Estimated Risk,100,0.7,0.79,0.7248,0.756,40,21,30,79
neuropathy_mobility,Lower Estimated Risk,409,0.314,0.1125,0.1247,0.1183,268,363,323,46
neuropathy_mobility,Moderate Estimated Risk,76,0.609,0.3553,0.0732,0.1213,582,49,342,27
neuropathy_mobility,Higher Estimated Risk,515,0.708,0.5748,0.8022,0.6697,412,219,73,296
retinopathy,Lower Estimated Risk,44,0.4125,0.2045,0.1324,0.1607,57,35,59,9
retinopathy,Moderate Estimated Risk,22,0.55,0.4091,0.1324,0.2,79,13,59,9
retinopathy,Higher Estimated Risk,94,0.6125,0.5319,0.7353,0.6173,48,44,18,50
