category,subgroup,n,actual_positive_rate,mean_predicted,calibration_gap,recall,specificity,precision,threshold_used,flag
cardiovascular,age_18_44,17,0.0588,0.0353,0.0235,0.0,1.0,0.0,0.1734,insufficient_data
cardiovascular,age_45_59,32,0.0938,0.1397,-0.0459,1.0,0.7241,0.2727,0.1734,ok
cardiovascular,age_60_plus,141,0.2908,0.2759,0.0149,0.9512,0.28,0.3514,0.1734,ok
cardiovascular,male,105,0.2857,0.2817,0.004,0.9667,0.3067,0.358,0.1734,ok
cardiovascular,female,85,0.1765,0.1692,0.0072,0.8667,0.6,0.3171,0.1734,ok
cardiovascular,bmi_overweight,190,0.2368,0.2314,0.0054,0.9333,0.4483,0.3443,0.1734,ok
general_burden,age_18_44,13,0.3846,0.256,0.1286,0.0,1.0,0.0,0.5522,insufficient_data
general_burden,age_45_59,30,0.3,0.5005,-0.2005,0.2222,0.7619,0.2857,0.5522,warning
general_burden,age_60_plus,127,0.748,0.7203,0.0277,0.9684,0.0625,0.7541,0.5522,ok
general_burden,male,84,0.5952,0.6719,-0.0766,0.92,0.3529,0.6765,0.5522,ok
general_burden,female,86,0.686,0.6208,0.0652,0.8136,0.5185,0.7869,0.5522,ok
general_burden,bmi_normal,14,0.7143,0.6428,0.0715,0.9,0.75,0.9,0.5522,insufficient_data
general_burden,bmi_overweight,59,0.5593,0.6402,-0.0809,0.8485,0.3846,0.6364,0.5522,ok
general_burden,bmi_obese,97,0.6804,0.6501,0.0304,0.8636,0.4194,0.76,0.5522,ok
neuropathy_mobility,age_18_44,49,0.2041,0.2526,-0.0485,0.5,0.7436,0.3333,0.2429,ok
neuropathy_mobility,age_45_59,268,0.3731,0.3735,-0.0004,0.87,0.6845,0.6214,0.2429,ok
neuropathy_mobility,age_60_plus,683,0.3792,0.3966,-0.0174,0.8919,0.5165,0.5298,0.2429,ok
neuropathy_mobility,male,471,0.3333,0.3692,-0.0359,0.879,0.5987,0.5227,0.2429,ok
neuropathy_mobility,female,529,0.4008,0.3959,0.0049,0.8726,0.5521,0.5657,0.2429,ok
neuropathy_mobility,bmi_normal,125,0.256,0.3088,-0.0528,0.8125,0.6129,0.4194,0.2429,ok
neuropathy_mobility,bmi_overweight,311,0.283,0.2986,-0.0157,0.7727,0.6771,0.4857,0.2429,ok
neuropathy_mobility,bmi_obese,564,0.4415,0.4466,-0.0051,0.9197,0.4921,0.5887,0.2429,ok
retinopathy,age_18_44,18,0.2778,0.3803,-0.1026,1.0,0.6923,0.5556,0.3286,insufficient_data
retinopathy,age_45_59,40,0.3,0.3866,-0.0866,1.0,0.3929,0.4138,0.3286,ok
retinopathy,age_60_plus,102,0.5,0.4568,0.0432,0.8235,0.2941,0.5385,0.3286,ok
retinopathy,male,70,0.4714,0.488,-0.0165,0.8788,0.1622,0.4833,0.3286,ok
retinopathy,female,90,0.3889,0.386,0.0029,0.8571,0.5273,0.5357,0.3286,ok
retinopathy,bmi_normal,24,0.3333,0.4837,-0.1503,1.0,0.25,0.4,0.3286,insufficient_data
retinopathy,bmi_overweight,32,0.5625,0.4494,0.1131,0.7778,0.1429,0.5385,0.3286,warning
retinopathy,bmi_obese,104,0.4038,0.4126,-0.0087,0.881,0.4677,0.5286,0.3286,ok
