category,threshold,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
cardiovascular,0.1734,0.5632,0.9333,0.4483,0.3443,0.503,65,80,3,42
cardiovascular,0.188,0.5895,0.9111,0.4897,0.3565,0.5125,71,74,4,41
cardiovascular,0.2,0.6053,0.8222,0.5379,0.3558,0.4966,78,67,8,37
cardiovascular,0.25,0.6632,0.7556,0.6345,0.3908,0.5152,92,53,11,34
cardiovascular,0.3,0.7526,0.6222,0.7931,0.4828,0.5437,115,30,17,28
cardiovascular,0.35,0.7474,0.4,0.8552,0.4615,0.4286,124,21,27,18
cardiovascular,0.4,0.7632,0.2667,0.9172,0.5,0.3478,133,12,33,12
cardiovascular,0.45,0.7737,0.1778,0.9586,0.5714,0.2712,139,6,37,8
cardiovascular,0.5,0.7684,0.1111,0.9724,0.5556,0.1852,141,4,40,5
cardiovascular,0.55,0.7579,0.0444,0.9793,0.4,0.08,142,3,43,2
cardiovascular,0.6,0.7684,0.0444,0.9931,0.6667,0.0833,144,1,43,2
cardiovascular,0.65,0.7684,0.0222,1.0,1.0,0.0435,145,0,44,1
cardiovascular,0.7,0.7632,0.0,1.0,0.0,0.0,145,0,45,0
cardiovascular,0.75,0.7632,0.0,1.0,0.0,0.0,145,0,45,0
cardiovascular,0.8,0.7632,0.0,1.0,0.0,0.0,145,0,45,0
general_burden,0.2,0.6471,0.9908,0.0328,0.6467,0.7826,2,59,1,108
general_burden,0.25,0.6412,0.9725,0.0492,0.6463,0.7766,3,58,3,106
general_burden,0.3,0.6529,0.9541,0.1148,0.6582,0.779,7,54,5,104
general_burden,0.35,0.6529,0.9541,0.1148,0.6582,0.779,7,54,5,104
general_burden,0.4,0.6588,0.945,0.1475,0.6645,0.7803,9,52,6,103
general_burden,0.45,0.6588,0.9083,0.2131,0.6735,0.7734,13,48,10,99
general_burden,0.5,0.6765,0.8991,0.2787,0.6901,0.7809,17,44,11,98
general_burden,0.55,0.7059,0.8624,0.4262,0.7287,0.7899,26,35,15,94
general_burden,0.5522,0.7059,0.8624,0.4262,0.7287,0.7899,26,35,15,94
general_burden,0.6,0.7176,0.8165,0.541,0.7607,0.7876,33,28,20,89
general_burden,0.65,0.7,0.7248,0.6557,0.79,0.756,40,21,30,79
general_burden,0.6522,0.7,0.7248,0.6557,0.79,0.756,40,21,30,79
general_burden,0.7,0.6529,0.5872,0.7705,0.8205,0.6845,47,14,45,64
general_burden,0.75,0.6059,0.422,0.9344,0.92,0.5786,57,4,63,46
general_burden,0.8,0.5294,0.2661,1.0,1.0,0.4203,61,0,80,29
neuropathy_mobility,0.2,0.649,0.9051,0.4992,0.5138,0.6555,315,316,35,334
neuropathy_mobility,0.2429,0.686,0.8753,0.5753,0.5465,0.6729,363,268,46,323
neuropathy_mobility,0.25,0.691,0.8672,0.588,0.5517,0.6744,371,260,49,320
neuropathy_mobility,0.2865,0.708,0.8022,0.6529,0.5748,0.6697,412,219,73,296
neuropathy_mobility,0.3,0.708,0.7859,0.6624,0.5765,0.6651,418,213,79,290
neuropathy_mobility,0.35,0.726,0.7317,0.7227,0.6067,0.6634,456,175,99,270
neuropathy_mobility,0.4,0.727,0.6667,0.7623,0.6212,0.6431,481,150,123,246
neuropathy_mobility,0.45,0.731,0.6287,0.7908,0.6374,0.633,499,132,137,232
neuropathy_mobility,0.5,0.736,0.5854,0.8241,0.6606,0.6207,520,111,153,216
neuropathy_mobility,0.55,0.734,0.5528,0.8399,0.6689,0.6053,530,101,165,204
neuropathy_mobility,0.6,0.736,0.5122,0.8669,0.6923,0.5888,547,84,180,189
neuropathy_mobility,0.65,0.737,0.4661,0.8954,0.7227,0.5667,565,66,197,172
neuropathy_mobility,0.7,0.709,0.355,0.916,0.712,0.4738,578,53,238,131
neuropathy_mobility,0.75,0.698,0.2846,0.9398,0.7343,0.4102,593,38,264,105
neuropathy_mobility,0.8,0.688,0.2005,0.9731,0.8132,0.3217,614,17,295,74
retinopathy,0.2,0.425,0.9853,0.0109,0.4241,0.5929,1,91,1,67
retinopathy,0.25,0.475,0.9118,0.1522,0.4429,0.5962,14,78,6,62
retinopathy,0.3,0.5562,0.9118,0.2935,0.4882,0.6359,27,65,6,62
retinopathy,0.3286,0.5875,0.8676,0.3804,0.5086,0.6413,35,57,9,59
retinopathy,0.35,0.6125,0.8235,0.4565,0.5283,0.6437,42,50,12,56
retinopathy,0.4,0.6125,0.7353,0.5217,0.5319,0.6173,48,44,18,50
retinopathy,0.4001,0.6125,0.7353,0.5217,0.5319,0.6173,48,44,18,50
retinopathy,0.45,0.6312,0.5735,0.6739,0.5652,0.5693,62,30,29,39
retinopathy,0.5,0.6125,0.4118,0.7609,0.56,0.4746,70,22,40,28
retinopathy,0.55,0.575,0.2794,0.7935,0.5,0.3585,73,19,49,19
retinopathy,0.6,0.575,0.1324,0.9022,0.5,0.2093,83,9,59,9
retinopathy,0.65,0.5375,0.0441,0.9022,0.25,0.075,83,9,65,3
retinopathy,0.7,0.5562,0.0,0.9674,0.0,0.0,89,3,68,0
retinopathy,0.75,0.575,0.0,1.0,0.0,0.0,92,0,68,0
retinopathy,0.8,0.575,0.0,1.0,0.0,0.0,92,0,68,0
